Index,Initial x,Initial vy,Jacobi Constant,Period,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
2194,0.9666361494821345,-1.0885833425527476,2.913454819320623,19.2856873670872,8470.47423787507,(16940.94841672157+0j),(1.0001715050852777+0j),(0.9998285280325815+0j),(5.902900563927351e-05+0j),(-3.4937685876884133+0j),(-0.28622387972363206+0j)
2195,0.9667747589603652,-1.0923556905897414,2.912744198313236,19.304207645454472,8452.832401719696,(16905.66474428762+0j),(0.9998300496499387+0j),(1.0001699836222944+0j),(5.9152241564488314e-05+0j),(-3.4573113179980033+0j),(-0.2892421040648458+0j)
2196,0.9669135577436778,-1.0961691786531376,2.912025281205295,19.322694185821785,8435.875160086578,(16871.75026090248+0j),(1.0001911570351618+0j),(0.9998088758431178+0j),(5.9270891124184236e-05+0j),(-3.4187865012095697+0j),(-0.2925014474208094+0j)
2197,0.9670525506363358,-1.100024701464608,2.911297844439841,19.34114581174754,8419.605059208181,(16839.210059031153+0j),(1.0001636420867743+0j),(0.999836389283402+0j),(5.938545450836632e-05+0j),(-3.378174667876934+0j),(-0.29601784938256426+0j)
2198,0.96719174234447,-1.1039231760618529,2.9105616573629107,19.359561296697226,8404.069689284728,(16808.049328446883+0j),(1.0001855727788385+0j),(0.9998144601696407+0j),(5.9494985198341646e-05+0j),(-3.3354551046106735+0j),(-0.29980916206648117+0j)
2199,0.967331137467892,-1.1078655423453954,2.909816481957942,19.377939361566625,8389.136686370006,(16778.27331313912+0j),(1.0002250666480934+0j),(0.9997749665982757+0j),(5.960113361053062e-05+0j),(-3.290605606712933+0j),(-0.303895428240608+0j)
2200,0.9674707404893094,-1.1118527635732693,2.909062072575085,19.39627867211816,8375.016340016291,(16749.887312624807+0j),(0.9998312933172381+0j),(1.000168739536737+0j),(5.9701376269930296e-05+0j),(-3.243602178058481+0j),(-0.3082992133834216+0j)
2201,0.9676105557645838,-1.1158858268998681,2.908298175646344,19.414577836240323,8361.448370644013,(16722.896681489772+0j),(1.0001436651877624+0j),(0.9998563672620046+0j),(5.979884049501104e-05+0j),(-3.1944186684903264+0j),(-0.3130460042363194+0j)
2202,0.9677505875103785,-1.1199657438584014,2.90752452939741,19.432835401107702,8348.788057973352,(16697.30677630109+0j),(0.9998100900134874+0j),(1.0001899452910912+0j),(5.988893218050092e-05+0j),(-3.143026329014455+0j),(-0.3181646907619957+0j)
2203,0.9678908397919781,-1.1240935508627834,2.906740863544603,19.45104985016685,8336.585402028935,(16673.122957404114+0j),(1.0001643599049885+0j),(0.9998356710886724+0j),(5.997659445519593e-05+0j),(-3.08939326762115+0j),(-0.32368815278500496+0j)
2204,0.9680313165090956,-1.128270309664782,2.9059468989875494,19.469219599994723,8325.175304683777,(16650.350549308758+0j),(0.9998638855712679+0j),(1.000136146832186+0j),(6.005942877753782e-05+0j),(-3.0334837720843084+0j),(-0.3296539804257444+0j)
2205,0.9681720213832575,-1.13249710786758,2.905142347484517,19.487342996926998,8314.497431476206,(16628.994802816487+0j),(1.0001612186500508+0j),(0.9998388066059692+0j),(6.013614415443538e-05+0j),(-2.975257468523699+0j),(-0.3361053658724672+0j)
2206,0.9683129579397205,-1.136775059292223,2.9043269113320256,19.50541831363188,8304.577173502552,(16609.060896203344+0j),(1.0001688200931695+0j),(0.9998312139833808+0j),(6.020776149902481e-05+0j),(-2.914668256342956+0j),(-0.34309221910559445+0j)
2207,0.9684541294919403,-1.1411053044245616,2.9035002830204975,19.523443745408866,8295.276975822213,(16590.553891369163+0j),(1.0001488702935948+0j),(0.9998511538918077+0j),(6.027587426861242e-05+0j),(-2.851662957385945+0j),(-0.35067257770879745+0j)
2208,0.9685955391226161,-1.145489010763866,2.902662144894935,19.54141740636562,8286.73935311141,(16573.478645885458+0j),(0.9998716415759951+0j),(1.0001283845691924+0j),(6.0337609112390424e-05+0j),(-2.786179571145981+0j),(-0.3589144111115764+0j)
2209,0.9687371896644219,-1.1499273731661905,2.901812168795213,19.55933732537321,8278.919957795164,(16557.839855195976+0j),(1.000205433612068+0j),(0.9997945908496194+0j),(6.039449311846363e-05+0j),(-2.7181450063760693+0j),(-0.3678979589685449+0j)
2210,0.9688790836777031,-1.1544216140900505,2.9009500157015493,19.57720144187611,8271.82100391644,(16543.6419473867+0j),(1.0001580096760632+0j),(0.9998420147400953+0j),(6.044636440216681e-05+0j),(-2.6474720725256793+0j),(-0.3777188097296315+0j)
2211,0.9690212234288357,-1.158972983855867,2.900075335361485,19.595007601433515,8265.44454840806,(16530.889036323308+0j),(0.9999703054848441+0j),(1.0000297197002463+0j),(6.0493442520491284e-05+0j),(-2.574055439977175+0j),(-0.38849202099413+0j)
2212,0.9691636108648938,-1.1635827607804692,2.899187765917919,19.61275355111489,8259.792463105116,(16519.58486567602+0j),(1.0001572153720126+0j),(0.9998428115031109+0j),(6.0534218651018596e-05+0j),(-2.4977661015277635+0j),(-0.4003577434322434+0j)
2213,0.9693062475865097,-1.1682522512351723,2.8982869335332255,19.630436934689204,8254.90925365472,(16509.732770487877+0j),(1.0001331221311436+0j),(0.9998669038349315+0j),(6.05700179699731e-05+0j),(-2.4184436162083616+0j),(-0.4134890693033372+0j)
2214,0.9694491348205951,-1.1729827896754859,2.8973724520002664,19.64805528754105,8250.677007649896,(16501.33559955201+0j),(1.0001390827503953+0j),(0.9998609474070816+0j),(6.060108781044923e-05+0j),(-2.335884971044144+0j),(-0.4281032723873523+0j)
2215,0.9695922733885762,-1.1777757384944674,2.8964439223642984,19.665606031453375,8247.211464164779,(16494.395599919713+0j),(1.000145232633546+0j),(0.9998547889712333+0j),(6.062655286703335e-05+0j),(-2.249828093306152+0j),(-0.4444784039269531+0j)
2216,0.96973566367386,-1.1826324878100438,2.8955009325353855,19.683086469126586,8244.457225524913,(16488.91439040302+0j),(1.0001499844557762+0j),(0.9998500428033498+0j),(6.0646813649471314e-05+0j),(-2.1599265571402944+0j),(-0.4629787048622481+0j)
2217,0.969879305586447,-1.1875544551092967,2.8945430569024464,19.700493778500068,8242.474496496467,(16484.89286356327+0j),(1.0002023118475738+0j),(0.9997977166068067+0j),(6.066139507649452e-05+0j),(-2.0657090360048533+0j),(-0.48409528282676784+0j)
2218,0.9700231985256568,-1.1925430847657736,2.8935698559549174,19.717825006843444,8241.16555079199,(16482.331040912948+0j),(0.9998481136590625+0j),(1.0001519087983008+0j),(6.0671215495355774e-05+0j),(-1.9665106303665034+0j),(-0.5085149221074226+0j)
